Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,11,13119,111383,Servicio de Salud Metropolitano Central,Maipú,Centro de Salud Familiar Dr. Luis Ferrada,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,157,186,29,255,294,39,267,337,70,158,206,48,837,1023,186,837,1023,186,22.22,Aumento esperado
2025,13,11,13119,111309,Servicio de Salud Metropolitano Central,Maipú,Centro de Salud Familiar Dra. Ana María Juricic,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,213,240,27,262,296,34,298,345,47,159,210,51,932,1091,159,932,1091,159,17.06,Aumento esperado
2025,13,11,13119,111304,Servicio de Salud Metropolitano Central,Maipú,Centro de Salud Familiar Maipú,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,322,354,32,333,360,27,453,507,54,324,385,61,1432,1606,174,1432,1606,174,12.15,Aumento esperado
2025,13,11,13119,111382,Servicio de Salud Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,395,352,-43,413,352,-61,526,493,-33,361,338,-23,1695,1535,-160,1695,1535,-160,-9.44,Baja de mes 6 a mes 12
2025,13,11,13101,111372,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Arauco,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,237,236,-1,218,246,28,227,256,29,113,141,28,795,879,84,795,879,84,10.57,Aumento esperado
2025,13,11,13101,111381,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Ignacio Domeyko,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,776,830,54,632,668,36,623,695,72,312,354,42,2343,2547,204,2343,2547,204,8.71,Aumento esperado
2025,13,11,13101,111376,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Matta Sur,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,358,376,18,334,333,-1,317,343,26,130,154,24,1139,1206,67,1139,1206,67,5.88,Aumento esperado
2025,13,11,13101,111300,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,500,409,-91,448,390,-58,419,366,-53,245,239,-6,1612,1404,-208,1612,1404,-208,-12.9,Baja de mes 6 a mes 12
2025,13,11,13101,111301,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Nº 5,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,65,104,39,85,132,47,56,87,31,51,80,29,257,403,146,257,403,146,56.81,Aumento esperado
2025,13,11,13101,111370,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,319,309,-10,284,260,-24,289,297,8,149,147,-2,1041,1013,-28,1041,1013,-28,-2.69,Baja de mes 6 a mes 12
2025,13,9,13301,201462,Servicio de Salud Metropolitano Norte,Colina,CESFAM La Reina de Colina,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,335,450,115,245,267,22,189,226,37,103,124,21,872,1067,195,872,1067,195,22.36,Aumento esperado
2025,13,9,13301,109716,Servicio de Salud Metropolitano Norte,Colina,Centro Comunitario de Salud Familiar Esmeralda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109316,55,55,0,45,40,-5,33,28,-5,9,10,1,142,133,-9,142,133,-9,-6.34,Baja de mes 6 a mes 12
2025,13,9,13301,109310,Servicio de Salud Metropolitano Norte,Colina,Centro de Salud Familiar Colina,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,554,610,56,526,495,-31,469,500,31,422,367,-55,1971,1972,1,1971,1972,1,0.05,Aumento esperado
2025,13,9,13301,109316,Servicio de Salud Metropolitano Norte,Colina,Centro de Salud Familiar Esmeralda,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,612,628,16,560,610,50,520,579,59,292,261,-31,1984,2078,94,1984,2078,94,4.74,Aumento esperado
2025,13,9,13301,109420,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Chacabuco (Colina),Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,18,18,0,21,23,2,18,21,3,12,12,0,69,74,5,69,74,5,7.25,Aumento esperado
2025,13,9,13301,109416,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Colorado,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,25,24,-1,34,32,-2,20,17,-3,11,11,0,90,84,-6,90,84,-6,-6.67,Baja de mes 6 a mes 12
2025,13,9,13301,109418,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Las Canteras,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,37,32,-5,29,36,7,15,15,0,19,7,-12,100,90,-10,100,90,-10,-10.0,Baja de mes 6 a mes 12
2025,13,9,13301,109417,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Los Ingleses,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,32,19,-13,14,19,5,17,19,2,8,13,5,71,70,-1,71,70,-1,-1.41,Baja de mes 6 a mes 12
2025,13,9,13301,109419,Servicio de Salud Metropolitano Norte,Colina,Posta de Salud Rural Santa Marta de Liray,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,6,22,16,7,20,13,4,18,14,0,8,8,17,68,51,17,68,51,300.0,Aumento esperado
2025,13,9,13104,200347,Servicio de Salud Metropolitano Norte,Conchalí,Centro Comunitario de Salud Familiar Alberto Bachelet,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109308,99,116,17,96,105,9,98,131,33,52,60,8,345,412,67,345,412,67,19.42,Aumento esperado
2025,13,9,13104,109709,Servicio de Salud Metropolitano Norte,Conchalí,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109309,112,115,3,117,93,-24,93,103,10,51,67,16,373,378,5,373,378,5,1.34,Aumento esperado
2025,13,9,13104,200609,Servicio de Salud Metropolitano Norte,Conchalí,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109302,30,67,37,25,57,32,26,58,32,9,18,9,90,200,110,90,200,110,122.22,Aumento esperado
2025,13,9,13104,109308,Servicio de Salud Metropolitano Norte,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,344,368,24,412,405,-7,373,408,35,183,181,-2,1312,1362,50,1312,1362,50,3.81,Aumento esperado
2025,13,9,13104,109309,Servicio de Salud Metropolitano Norte,Conchalí,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,181,295,114,173,305,132,137,236,99,69,123,54,560,959,399,560,959,399,71.25,Aumento esperado
2025,13,9,13104,109314,Servicio de Salud Metropolitano Norte,Conchalí,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,298,234,-64,354,458,104,424,568,144,252,210,-42,1328,1470,142,1328,1470,142,10.69,Aumento esperado
2025,13,9,13104,109302,Servicio de Salud Metropolitano Norte,Conchalí,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,273,353,80,284,347,63,277,396,119,162,262,100,996,1358,362,996,1358,362,36.35,Aumento esperado
2025,13,9,13107,109718,Servicio de Salud Metropolitano Norte,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109305,69,91,22,86,106,20,99,136,37,74,88,14,328,421,93,328,421,93,28.35,Aumento esperado
2025,13,9,13107,109323,Servicio de Salud Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,216,305,89,177,267,90,109,177,68,55,74,19,557,823,266,557,823,266,47.76,Aumento esperado
2025,13,9,13107,200961,Servicio de Salud Metropolitano Norte,Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,92,164,72,74,133,59,76,153,77,51,147,96,293,597,304,293,597,304,103.75,Aumento esperado
2025,13,9,13107,109317,Servicio de Salud Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,231,216,-15,178,202,24,181,146,-35,92,56,-36,682,620,-62,682,620,-62,-9.09,Baja de mes 6 a mes 12
2025,13,9,13107,109305,Servicio de Salud Metropolitano Norte,Huechuraba,Centro de Salud Familiar La Pincoya,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,262,395,133,282,425,143,245,376,131,138,138,0,927,1334,407,927,1334,407,43.91,Aumento esperado
2025,13,9,13108,200554,Servicio de Salud Metropolitano Norte,Independencia,Centro Comunitario de Salud Familiar Las Enredaderas,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109300,85,105,20,120,147,27,107,129,22,60,79,19,372,460,88,372,460,88,23.66,Aumento esperado
2025,13,9,13108,109300,Servicio de Salud Metropolitano Norte,Independencia,Centro de Salud Familiar Agustín Cruz Melo,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,637,690,53,555,603,48,518,584,66,318,253,-65,2028,2130,102,2028,2130,102,5.03,Aumento esperado
2025,13,9,13108,109321,Servicio de Salud Metropolitano Norte,Independencia,Centro de Salud Familiar Juan Antonio Ríos,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,427,432,5,426,429,3,360,376,16,290,273,-17,1503,1510,7,1503,1510,7,0.47,Aumento esperado
2025,13,9,13302,109712,Servicio de Salud Metropolitano Norte,Lampa,Centro Comunitario de Salud Familiar Batuco,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109312,66,61,-5,75,68,-7,62,54,-8,30,27,-3,233,210,-23,233,210,-23,-9.87,Baja de mes 6 a mes 12
2025,13,9,13302,109711,Servicio de Salud Metropolitano Norte,Lampa,Centro Comunitario de Salud Familiar Sol de Septiembre,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109311,55,77,22,64,79,15,33,50,17,22,26,4,174,232,58,174,232,58,33.33,Aumento esperado
2025,13,9,13302,109312,Servicio de Salud Metropolitano Norte,Lampa,Centro de Salud Familiar Batuco,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,188,189,1,148,155,7,109,118,9,61,59,-2,506,521,15,506,521,15,2.96,Aumento esperado
2025,13,9,13302,109311,Servicio de Salud Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,513,480,-33,402,351,-51,268,240,-28,153,113,-40,1336,1184,-152,1336,1184,-152,-11.38,Baja de mes 6 a mes 12
2025,13,9,13302,201212,Servicio de Salud Metropolitano Norte,Lampa,Centro de Salud Familiar Juan Pablo II de Lampa,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,154,175,21,112,148,36,108,127,19,64,48,-16,438,498,60,438,498,60,13.7,Aumento esperado
2025,13,9,13125,200304,Servicio de Salud Metropolitano Norte,Quilicura,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109313,34,38,4,36,41,5,38,58,20,25,41,16,133,178,45,133,178,45,33.83,Aumento esperado
2025,13,9,13125,109713,Servicio de Salud Metropolitano Norte,Quilicura,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109324,70,33,-37,67,39,-28,37,24,-13,20,7,-13,194,103,-91,194,103,-91,-46.91,Baja de mes 6 a mes 12
2025,13,9,13125,109715,Servicio de Salud Metropolitano Norte,Quilicura,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109315,15,13,-2,13,21,8,20,12,-8,17,16,-1,65,62,-3,65,62,-3,-4.62,Baja de mes 6 a mes 12
