Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,servicio_salud_master,comuna_master,establecimiento_master,tipo_establecimiento_master,dependencia_master,estado_funcionamiento_master,codigo_madre_master,50_54 | Mes 6,50_54 | Mes 12,50_54 | Diferencia,55_59 | Mes 6,55_59 | Mes 12,55_59 | Diferencia,60_64 | Mes 6,60_64 | Mes 12,60_64 | Diferencia,65_69 | Mes 6,65_69 | Mes 12,65_69 | Diferencia,numerador_mujeres_50_69 | Mes 6,numerador_mujeres_50_69 | Mes 12,numerador_mujeres_50_69 | Diferencia,Total mes 6,Total mes 12,Diferencia,Variacion %,Alerta
2025,13,12,13114,112304,Servicio de Salud Metropolitano Oriente,Las Condes,Centro de Salud Familiar Apoquindo,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,653,611,-42,733,668,-65,840,769,-71,675,613,-62,2901,2661,-240,2901,2661,-240,-8.27,Baja de mes 6 a mes 12
2025,13,13,13121,111303,Servicio de Salud Metropolitano Sur,Pedro Aguirre Cerda,Centro de Salud Familiar Lo Valledor Norte,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,352,302,-50,338,276,-62,403,335,-68,267,218,-49,1360,1131,-229,1360,1131,-229,-16.84,Baja de mes 6 a mes 12
2025,13,14,13202,114333,Servicio de Salud Metropolitano Sur Oriente,Pirque,Centro de Salud Rural El Principal,Consultorio General Rural (CGR),Municipal,Vigente en Operación Habitual,,144,80,-64,161,80,-81,137,87,-50,58,43,-15,500,290,-210,500,290,-210,-42.0,Baja de mes 6 a mes 12
2025,13,11,13101,111300,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,500,409,-91,448,390,-58,419,366,-53,245,239,-6,1612,1404,-208,1612,1404,-208,-12.9,Baja de mes 6 a mes 12
2025,13,9,13127,109301,Servicio de Salud Metropolitano Norte,Recoleta,Centro de Salud Familiar Recoleta,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,536,455,-81,449,398,-51,449,378,-71,252,249,-3,1686,1480,-206,1686,1480,-206,-12.22,Baja de mes 6 a mes 12
2025,13,9,13125,201091,Servicio de Salud Metropolitano Norte,Quilicura,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,294,271,-23,361,284,-77,386,393,7,294,198,-96,1335,1146,-189,1335,1146,-189,-14.16,Baja de mes 6 a mes 12
2025,13,10,13126,110325,Servicio de Salud Metropolitano Occidente,Quinta Normal,Centro de Salud Familiar Garín,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,361,77,-284,394,383,-11,335,404,69,180,219,39,1270,1083,-187,1270,1083,-187,-14.72,Baja de mes 6 a mes 12
2025,13,13,13401,113330,Servicio de Salud Metropolitano Sur,San Bernardo,Centro de Salud Familiar Raúl Brañes F.,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,438,354,-84,365,322,-43,321,279,-42,127,126,-1,1251,1081,-170,1251,1081,-170,-13.59,Baja de mes 6 a mes 12
2025,13,11,13106,111302,Servicio de Salud Metropolitano Central,Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,Centro de Salud Familiar (CESFAM),Servicio de Salud,Vigente en Operación Habitual,,126,141,15,171,145,-26,198,102,-96,136,76,-60,631,464,-167,631,464,-167,-26.47,Baja de mes 6 a mes 12
2025,13,11,13119,111382,Servicio de Salud Metropolitano Central,Maipú,Centro de Salud Familiar Presidenta Michelle Bachelet,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,395,352,-43,413,352,-61,526,493,-33,361,338,-23,1695,1535,-160,1695,1535,-160,-9.44,Baja de mes 6 a mes 12
2025,13,9,13302,109311,Servicio de Salud Metropolitano Norte,Lampa,Centro de Salud Familiar José Bauza Frau,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,513,480,-33,402,351,-51,268,240,-28,153,113,-40,1336,1184,-152,1336,1184,-152,-11.38,Baja de mes 6 a mes 12
2025,13,10,13128,110362,Servicio de Salud Metropolitano Occidente,Renca,Centro de Salud Familiar Dr. Hernán Urzúa Merino,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,409,375,-34,273,257,-16,384,319,-65,290,278,-12,1356,1229,-127,1356,1229,-127,-9.37,Baja de mes 6 a mes 12
2025,13,10,13603,110775,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Centro Comunitario de Salud Familiar La Islita,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,110375,34,12,-22,62,14,-48,45,13,-32,19,3,-16,160,42,-118,160,42,-118,-73.75,Baja de mes 6 a mes 12
2025,13,14,13112,114318,Servicio de Salud Metropolitano Sur Oriente,La Pintana,Centro de Salud Familiar Flor Fernández,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,148,119,-29,128,77,-51,111,83,-28,68,64,-4,455,343,-112,455,343,-112,-24.62,Baja de mes 6 a mes 12
2025,13,11,13102,200346,Servicio de Salud Metropolitano Central,Cerrillos,Centro Comunitario de Salud Familiar Buzeta,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,Vigente en Operación Habitual,111307,41,6,-35,44,5,-39,24,5,-19,12,4,-8,121,20,-101,121,20,-101,-83.47,Baja de mes 6 a mes 12
2025,13,9,13125,109713,Servicio de Salud Metropolitano Norte,Quilicura,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Vigente en Operación Habitual,109324,70,33,-37,67,39,-28,37,24,-13,20,7,-13,194,103,-91,194,103,-91,-46.91,Baja de mes 6 a mes 12
2025,13,14,13111,114325,Servicio de Salud Metropolitano Sur Oriente,La Granja,Centro de Salud Familiar Granja Sur,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,832,699,-133,754,773,19,893,932,39,623,615,-8,3102,3019,-83,3102,3019,-83,-2.68,Baja de mes 6 a mes 12
2025,13,13,13116,113309,Servicio de Salud Metropolitano Sur,Lo Espejo,Centro de Salud Familiar Julio Acuña Pinzón,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,367,340,-27,312,284,-28,328,302,-26,142,144,2,1149,1070,-79,1149,1070,-79,-6.88,Baja de mes 6 a mes 12
2025,13,13,13121,113331,Servicio de Salud Metropolitano Sur,Pedro Aguirre Cerda,Centro de Salud Familiar Edgardo Enríquez Fröedden,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,363,307,-56,396,358,-38,457,464,7,252,270,18,1468,1399,-69,1468,1399,-69,-4.7,Baja de mes 6 a mes 12
2025,13,14,13202,114310,Servicio de Salud Metropolitano Sur Oriente,Pirque,Centro de Salud Familiar Dr. José Manuel Balmaceda,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,114,90,-24,133,122,-11,129,108,-21,76,63,-13,452,383,-69,452,383,-69,-15.27,Baja de mes 6 a mes 12
2025,13,10,13603,110431,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Posta de Salud Rural Gacitúa,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,25,14,-11,31,14,-17,32,9,-23,20,8,-12,108,45,-63,108,45,-63,-58.33,Baja de mes 6 a mes 12
2025,13,9,13107,109317,Servicio de Salud Metropolitano Norte,Huechuraba,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,231,216,-15,178,202,24,181,146,-35,92,56,-36,682,620,-62,682,620,-62,-9.09,Baja de mes 6 a mes 12
2025,13,13,13121,113306,Servicio de Salud Metropolitano Sur,Pedro Aguirre Cerda,Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria),Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,330,327,-3,387,376,-11,466,444,-22,197,174,-23,1380,1321,-59,1380,1321,-59,-4.28,Baja de mes 6 a mes 12
2025,13,10,13124,110350,Servicio de Salud Metropolitano Occidente,Pudahuel,Centro de Salud Familiar Pudahuel Estrella,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,518,555,37,547,539,-8,605,607,2,323,236,-87,1993,1937,-56,1993,1937,-56,-2.81,Baja de mes 6 a mes 12
2025,13,10,13604,110366,Servicio de Salud Metropolitano Occidente,Padre Hurtado,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,1612,1704,92,1523,1508,-15,1358,1294,-64,1035,967,-68,5528,5473,-55,5528,5473,-55,-0.99,Baja de mes 6 a mes 12
2025,13,13,13105,113312,Servicio de Salud Metropolitano Sur,El Bosque,Centro de Salud Familiar Dr. Carlos Lorca Tobar,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,390,373,-17,428,371,-57,393,406,13,172,179,7,1383,1329,-54,1383,1329,-54,-3.9,Baja de mes 6 a mes 12
2025,13,10,13605,110369,Servicio de Salud Metropolitano Occidente,Peñaflor,Centro de Salud Familiar Dr. Fernando Monckeberg,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,601,577,-24,550,538,-12,477,458,-19,325,330,5,1953,1903,-50,1953,1903,-50,-2.56,Baja de mes 6 a mes 12
2025,13,13,13401,113316,Servicio de Salud Metropolitano Sur,San Bernardo,Centro de Salud Familiar Carol Urzúa,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,370,348,-22,388,359,-29,379,372,-7,142,151,9,1279,1230,-49,1279,1230,-49,-3.83,Baja de mes 6 a mes 12
2025,13,10,13503,110160,Servicio de Salud Metropolitano Occidente,Curacaví,Hospital de Curacaví,Hospital,Servicio de Salud,Vigente en Operación Habitual,,319,243,-76,282,278,-4,230,285,55,147,133,-14,978,939,-39,978,939,-39,-3.99,Baja de mes 6 a mes 12
2025,13,10,13505,110485,Servicio de Salud Metropolitano Occidente,San Pedro,Posta de Salud Rural Loica,Posta de Salud Rural (PSR),Municipal,Cerrado,,21,14,-7,20,8,-12,20,6,-14,7,2,-5,68,30,-38,68,30,-38,-55.88,Baja de mes 6 a mes 12
2025,13,10,13603,110432,Servicio de Salud Metropolitano Occidente,Isla de Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,25,17,-8,21,7,-14,15,9,-6,9,5,-4,70,38,-32,70,38,-32,-45.71,Baja de mes 6 a mes 12
2025,13,14,13203,114410,Servicio de Salud Metropolitano Sur Oriente,San José de Maipo,Posta de Salud Rural San Gabriel,Posta de Salud Rural (PSR),Municipal,Vigente en Operación Habitual,,15,3,-12,10,4,-6,10,3,-7,9,4,-5,44,14,-30,44,14,-30,-68.18,Baja de mes 6 a mes 12
2025,13,11,13101,111370,Servicio de Salud Metropolitano Central,Santiago,Centro de Salud Familiar Padre Orellana,Centro de Salud Familiar (CESFAM),Municipal,Vigente en Operación Habitual,,319,309,-10,284,260,-24,289,297,8,149,147,-2,1041,1013,-28,1041,1013,-28,-2.69,Baja de mes 6 a mes 12
