Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,9,2025,109718,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13107,136,0,3,10,60_64
12,9,2025,109313,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13125,411,0,18,47,50_54
6,9,2025,109416,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,20,0,0,0,60_64
12,9,2025,109303,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13127,433,0,0,115,55_59
6,9,2025,109312,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13302,61,0,1,2,65_69
12,9,2025,109417,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13301,19,0,0,1,50_54
6,9,2025,200961,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13107,74,0,0,19,55_59
6,9,2025,109312,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13302,109,0,0,5,60_64
6,9,2025,109300,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13108,318,0,1,156,65_69
6,9,2025,109711,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13302,55,0,1,6,50_54
6,9,2025,109413,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13303,15,0,0,0,60_64
12,9,2025,109312,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13302,118,0,2,7,60_64
6,9,2025,109302,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13104,273,0,2,40,50_54
6,9,2025,109317,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13107,231,0,0,2,50_54
6,9,2025,109418,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13301,37,0,1,2,50_54
12,9,2025,201462,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,226,0,1,8,60_64
12,9,2025,109321,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13108,273,0,2,85,65_69
6,9,2025,109711,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13302,33,0,0,4,60_64
6,9,2025,109301,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13127,536,0,0,364,50_54
12,9,2025,109301,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13127,378,0,0,104,60_64
12,9,2025,109414,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13303,63,0,0,4,50_54
6,9,2025,109417,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13301,32,0,1,5,50_54
6,9,2025,109315,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13125,173,0,0,0,65_69
12,9,2025,109315,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13125,206,0,0,0,65_69
6,9,2025,200304,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,38,0,0,0,60_64
12,9,2025,109709,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13104,67,0,0,5,65_69
12,9,2025,109301,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13127,455,0,0,218,50_54
6,9,2025,201091,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13125,294,0,2,16,65_69
12,9,2025,109416,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13301,32,0,0,0,55_59
12,9,2025,109715,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,12,0,0,2,60_64
12,9,2025,109321,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13108,429,0,4,127,55_59
6,9,2025,201462,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,189,0,0,6,60_64
12,9,2025,109412,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13303,19,0,0,0,60_64
12,9,2025,200961,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13107,164,0,0,42,50_54
6,9,2025,109712,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13302,75,0,1,8,55_59
12,9,2025,109316,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13301,610,0,2,25,55_59
6,9,2025,109718,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13107,99,0,0,7,60_64
12,9,2025,109413,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13303,13,0,0,0,55_59
12,9,2025,109305,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13107,376,0,9,16,60_64
12,9,2025,109712,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13302,27,0,0,1,65_69
12,9,2025,201462,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13301,124,0,0,4,65_69
6,9,2025,109307,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13127,417,0,4,13,60_64
6,9,2025,109320,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13303,54,0,0,0,65_69
6,9,2025,109309,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13104,137,0,4,9,60_64
12,9,2025,109416,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13301,11,0,0,0,65_69
12,9,2025,109414,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13303,46,0,0,2,55_59
6,9,2025,109417,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,17,0,0,2,60_64
6,9,2025,201462,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13301,245,0,3,7,55_59
6,9,2025,109713,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13125,70,0,0,0,50_54
6,9,2025,109419,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,4,0,0,0,60_64
12,9,2025,109324,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,409,0,0,33,60_64
6,9,2025,109321,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13108,290,0,2,70,65_69
6,9,2025,109313,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13125,142,0,1,7,65_69
6,9,2025,109313,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13125,315,0,10,23,60_64
12,9,2025,201091,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13125,198,0,0,5,65_69
12,9,2025,109413,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13303,15,0,0,0,65_69
12,9,2025,109716,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13301,28,0,0,5,60_64
12,9,2025,109713,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13125,33,0,0,0,50_54
6,9,2025,109412,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13303,11,0,0,0,50_54
6,9,2025,109414,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13303,30,0,0,0,60_64
12,10,2025,110160,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13503,243,0,0,4,50_54
12,10,2025,110160,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13503,278,0,1,9,55_59
12,10,2025,200365,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13601,73,0,0,0,50_54
12,10,2025,200365,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13601,61,0,0,0,55_59
12,10,2025,200365,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13601,38,0,0,0,60_64
12,10,2025,200365,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13601,7,0,0,0,65_69
