IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,denominador_poblacion_inscrita_validada_mujeres_50_69,codigo_madre_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,IdComuna_master,comuna_master,estado_funcionamiento_master
109323,109323,Metropolitano Norte,Municipal ,Huechuraba,Centro De Salud Familiar Dr. Salvador Allende Gossens (Huechuraba),2061,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Municipal,13107,Huechuraba,Vigente en Operación Habitual
109324,109324,Metropolitano Norte,Municipal ,Quilicura,Centro De Salud Familiar Presidente Salvador Allende Gossens (Quilicura),6445,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Municipal,13125,Quilicura,Vigente en Operación Habitual
109390,109390,Metropolitano Norte,Otra Institución,Recoleta,Centro De Salud Familiar Cristo Vive (Ong),3287,,9,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Otra Institución,13127,Recoleta,Vigente en Operación Habitual
109407,109407,Metropolitano Norte,Municipal ,Lampa,Posta De Salud Rural Juan Pablo Ii De Lampa,1068,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Juan Pablo II de Lampa,Municipal,13302,Lampa,Cerrado
109410,109410,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural La Capilla De Caleu,69,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Municipal,13303,Tiltil,Vigente en Operación Habitual
109412,109412,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Montenegro,59,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Municipal,13303,Tiltil,Vigente en Operación Habitual
109413,109413,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Rungue,65,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Municipal,13303,Tiltil,Vigente en Operación Habitual
109414,109414,Metropolitano Norte,Municipal ,Tiltil,Posta De Salud Rural Polpaico,222,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Municipal,13303,Tiltil,Vigente en Operación Habitual
109416,109416,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Colorado,4,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Municipal,13301,Colina,Vigente en Operación Habitual
109417,109417,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Los Ingleses,7,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Municipal,13301,Colina,Vigente en Operación Habitual
109418,109418,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Las Canteras,12,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Municipal,13301,Colina,Vigente en Operación Habitual
109419,109419,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Santa Marta De Liray,7,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Municipal,13301,Colina,Vigente en Operación Habitual
109420,109420,Metropolitano Norte,Municipal ,Colina,Posta De Salud Rural Chacabuco (Colina),3,,9,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Municipal,13301,Colina,Vigente en Operación Habitual
109709,109709,Metropolitano Norte,Municipal ,Conchalí,Centro Comunitario De Salud Familiar Dr. José Symón Ojeda,620,109309,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Municipal,13104,Conchalí,Vigente en Operación Habitual
109711,109711,Metropolitano Norte,Municipal ,Lampa,Centro Comunitario De Salud Familiar Sol De Septiembre,578,109311,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Sol de Septiembre,Municipal,13302,Lampa,Vigente en Operación Habitual
109712,109712,Metropolitano Norte,Municipal ,Lampa,Centro Comunitario De Salud Familiar Batuco,643,109312,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Municipal,13302,Lampa,Vigente en Operación Habitual
109713,109713,Metropolitano Norte,Municipal ,Quilicura,Centro Comunitario De Salud Familiar La Foresta,496,109324,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Municipal,13125,Quilicura,Vigente en Operación Habitual
109715,109715,Metropolitano Norte,Municipal ,Quilicura,Centro Comunitario De Salud Familiar Pucara De Lasana,374,109315,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Pucara de Lasana,Municipal,13125,Quilicura,Vigente en Operación Habitual
109716,109716,Metropolitano Norte,Municipal ,Colina,Centro Comunitario De Salud Familiar Esmeralda,94,109316,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Esmeralda,Municipal,13301,Colina,Vigente en Operación Habitual
109718,109718,Metropolitano Norte,Municipal ,Huechuraba,Centro Comunitario De Salud Familiar Los Libertadores,1173,109305,9,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Municipal,13107,Huechuraba,Vigente en Operación Habitual
110160,110160,Metropolitano Occidente,Servicio de Salud,Curacav¿,Hospital De Curacaví,2787,,10,Servicio de Salud Metropolitano Occidente,Hospital,Hospital de Curacaví,Servicio de Salud,13503,Curacaví,Vigente en Operación Habitual
110300,110300,Metropolitano Occidente,Servicio de Salud,Pudahuel,Centro De Referencia De Salud Salvador Allende,1,,10,Servicio de Salud Metropolitano Occidente,Centro de Referencia de Salud (CRS),Centro de Referencia de Salud Salvador Allende,Servicio de Salud,13124,Pudahuel,Vigente en Operación Habitual
110308,110308,Metropolitano Occidente,Municipal ,Peñaflor,Centro De Salud Familiar Peñaflor,5180,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Peñaflor,Municipal,13605,Peñaflor,Vigente en Operación Habitual
110310,110310,Metropolitano Occidente,Servicio de Salud,Quinta Normal,CESFAM Andes,3237,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Andes,Servicio de Salud,13126,Quinta Normal,Vigente en Operación Habitual
110315,110315,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Santa Anita,4849,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Santa Anita,Municipal,13117,Lo Prado,Vigente en Operación Habitual
110316,110316,Metropolitano Occidente,Municipal ,Lo Prado,Centro De Salud Familiar Pablo Neruda,3717,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Pablo Neruda,Municipal,13117,Lo Prado,Vigente en Operación Habitual
110320,110320,Metropolitano Occidente,Municipal ,Quinta Normal,Centro De Salud Familiar Lo Franco,4927,,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Franco,Municipal,13126,Quinta Normal,Vigente en Operación Habitual
