Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,descripcion_prestacion,IdRegion,IdComuna,mujeres_mamografia_vigente,trans_masculino_mamografia_vigente,pueblos_originarios,migrantes,tramo_edad
12,12,2025,112302,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13123,292,0,4,50,50_54
12,12,2025,112302,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13123,306,0,7,38,55_59
12,12,2025,112302,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13123,310,0,6,31,60_64
12,12,2025,112302,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13123,233,0,1,24,65_69
12,11,2025,111382,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13119,352,0,2,11,50_54
12,11,2025,111382,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13119,352,0,4,14,55_59
12,11,2025,111382,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13119,493,0,1,2,60_64
12,11,2025,111382,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13119,338,0,5,3,65_69
12,12,2025,112309,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13132,594,0,36,266,50_54
12,12,2025,112309,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13132,632,0,39,225,55_59
12,12,2025,112309,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13132,630,0,31,156,60_64
12,12,2025,112303,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13123,397,0,5,113,50_54
12,12,2025,112303,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13123,446,0,9,100,55_59
12,12,2025,112303,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13123,504,0,12,82,60_64
12,12,2025,112313,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13118,410,0,9,48,50_54
12,12,2025,112313,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13118,447,0,9,63,55_59
12,12,2025,112313,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13118,454,0,12,50,60_64
12,12,2025,112313,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13118,281,0,4,41,65_69
12,12,2025,112310,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13120,341,0,3,15,50_54
12,12,2025,112310,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13120,386,0,12,7,55_59
12,12,2025,112310,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13120,577,0,5,22,60_64
12,12,2025,112310,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13120,526,0,5,16,65_69
12,12,2025,112304,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13114,611,0,40,229,50_54
12,12,2025,112304,P1207030,Mujeres 55 a 59 anos con mamografia vigente (<= 2 anos),13,13114,668,0,42,211,55_59
12,12,2025,112304,P1207040,Mujeres 60 a 64 anos con mamografia vigente (<= 2 anos),13,13114,769,0,36,173,60_64
12,12,2025,112304,P1207050,Mujeres 65 a 69 anos con mamografia vigente (<= 2 anos),13,13114,613,0,25,85,65_69
12,14,2025,114306,P1220030,Mujeres 50 a 54 anos con mamografia vigente (<= 2 anos),13,13111,117,0,12,11,50_54
